STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
51563,2026-08-02 21:35:00,NE_000019,DEV_000019,,2117658.860883662,,,,,,95.79519996459814,44.03069032992711,,,,,,99.95377503399354,,,82009.58101419636,53.62506707618016,1232074.817699244,998653.7119169106,1337445.5191573605,2026-08-02,21:35:00
51532,2026-08-02 21:45:00,NE_000019,DEV_000019,,2068435.107341501,,,,,,103.97382770989036,47.576970079837814,,,,,,96.9213099353685,,,83703.74143513494,55.82923266717733,1244049.5440979314,976484.377816085,1298996.7248545706,2026-08-02,21:45:00
51428,2026-08-02 22:10:00,NE_000019,DEV_000019,,2124255.4724510214,,,,,,103.60686212249094,43.54164814384777,,,,,,103.96578374350852,,,71775.47890610786,52.47223347060719,1190618.4842478358,950032.1132921776,1381615.5344544516,2026-08-02,22:10:00
51190,2026-08-02 23:20:00,NE_000019,DEV_000019,,1987178.848017236,,,,,,104.5838153968138,42.52545933690991,,,,,,94.57722295569755,,,53842.551412009576,35.075455748377344,1280136.5558766297,987886.5161393302,1295157.5453195858,2026-08-02,23:20:00
50820,2026-08-03 01:00:00,NE_000019,DEV_000019,,1943993.1825578315,,,,,,102.8720217524313,44.32643889206155,,,,,,94.82523163533897,,,22294.278768696124,15.712016163603177,1170260.8147946903,976759.6920917939,1237051.7138552454,2026-08-03,01:00:00
50713,2026-08-03 01:30:00,NE_000019,DEV_000019,,1827721.9523745065,,,,,,100.4962960190588,43.50249617402768,,,,,,101.04894135800023,,,18340.446992402893,12.81206031544812,1196436.225902296,909445.9854079651,1242801.0122062548,2026-08-03,01:30:00
50403,2026-08-03 02:55:00,NE_000019,DEV_000019,,1931303.6923427735,,,,,,100.00116774348385,41.211622666576694,,,,,,97.87468875748905,,,12027.079762925108,7.806723389866166,1253689.5560532846,921415.5397409509,1295311.82099654,2026-08-03,02:55:00
50331,2026-08-03 03:15:00,NE_000019,DEV_000019,,1909641.5560162887,,,,,,100.5836373966111,40.298575216542964,,,,,,102.76112503832097,,,11210.244733310534,7.180656747918416,1182745.5509776855,929540.029999471,1202204.1387265648,2026-08-03,03:15:00
50249,2026-08-03 03:40:00,NE_000019,DEV_000019,,1738061.5861881098,,,,,,102.32064056085453,38.718353899587335,,,,,,95.28208199045834,,,10471.453116262399,6.66202801093018,1266152.766383477,901619.0002345134,1293810.2709986498,2026-08-03,03:40:00
50135,2026-08-03 04:10:00,NE_000019,DEV_000019,,1782366.7485746583,,,,,,104.355841469651,38.526638849346035,,,,,,95.99921520942203,,,10232.240530602894,6.9785955517604465,1158742.9521580634,928279.1562663903,1229354.9920308865,2026-08-03,04:10:00
50070,2026-08-03 04:30:00,NE_000019,DEV_000019,,1844608.182947166,,,,,,104.66803127581325,38.1760066216304,,,,,,104.21212216282478,,,12030.143635000439,8.152337460693595,1261380.3972690273,975329.8593934282,1267659.5853147889,2026-08-03,04:30:00
